alat,energy
4.3,-3956.87944
4.31,-3956.88301
4.32,-3956.88609
4.33,-3956.88868
4.34,-3956.89083
4.35,-3956.89253
4.36,-3956.89379
4.37,-3956.89437
4.38,-3956.8953
4.39,-3956.89583
4.4,-3956.89588
4.41,-3956.89551
4.42,-3956.89465
4.43,-3956.89334
4.44,-3956.89155
4.45,-3956.8894
